id,text,succ,label,num_queries,sub_rate
0_orig,"when i first saw this dvd in a bargain bin for three dollars, i really couldn t believe my luck : a christmas movie starring tori spelling, william shatner, and gary coleman??? needless to say, i snatched it up immediately and considered it a worthwhile investment.the movie itself was just as bad as any movie you d expect to be combining christmas and the three aforementioned celebrities. the dialogue was inane, the characters were one dimensional, and carol s character arc was completely unbelievable. the movie itself was a lifeless piece of boring that refused to end and made me feel used as a human being when the end did finally come.my advice : don t watch this movie unless you have to and then only under the influence of some serious holiday eggnog.",none,0,none,0
1_orig,"i know when you buy a used oops, excuse me, previously viewed dvd for 5.99 you shouldn t have very high expectations, but even that was a steep price for this poor boxed disc.i will give the producers credit for providing a complex challenge for the viewer... to determine which is worst, the acting, the scripting, the camera work, the special effects... they all pretty much tie for just plain terrible. oh, it has the absolutely worst faked car crash ever used in a motion picture anywhere.now all this is pretty serious ridicule for a movie fan who proudly features police academy, naked gun, national lampoon s loaded weapon and a host of other campy discs in his collection. but, at least those folks know that ones tongue should be planted firmly in ones cheek, the cast of pw, unfortunately use their tongues in an attempt to deliver inane dialogue. and, although it is almost beyond my belief, the movies characters seem to think they might actually be doing something of value. a back room pornographer would be ashamed to release this mess.oh... lucky me bought the worst video ever made at the same time... fraternity demon... maybe the name should have given me a hint",none,0,none,0
2_orig,"zoey 101 is basically about a girl named zoey who transfers into an all boys boarding school during the first year that they integrate girls into it. that raw plot line is, i ll admit, a pretty good idea. although this show was meant for children, a five year old could probably point out its fatal flaws. first, zoey is a clich character, her being super popular, super attractive, super smart, and there ; s nothing wrong with her ; no girl is like that. it feels like the show was put the spotlight on jamie lynn spears and increase her fame. dana, who appeared at the beginning of the first season, is just plain mean. however, in my opinion, she was probably the most realistic character of them all, which is sad seeing that dana is never nice. nicole is too peppy and acts like a complete airhead, but mysteriously gets straight a s. lola seems to be able to fool anything with her emmy deserving acting skills. quinn is supposed to be super smart, and although she is able to create the most unrealistic things, she is also made out to be weird, and she never gets any guys although she is both beautiful and smart, while zoe",none,0,none,0
3_orig,the subspecies series is an always will be the best vampire movies ever. there is something about them that makes them special i think it s the feeling you get when you watch them.they are set in modern times and yet they feel as if they are set in the 1700 s or 1800 s i think it has some thing to do with the set s that are used if so then it s working keep it up guy s :.in a quick round up of what s happened in the first part radu was supposedly bannished from his home land years ago by his father and he has decided to come back and take what he thinks is his birth rite. the blood stone and all his father has so he kill s his father who is played by angus scrimm the tall man from the phantasm movies. and takes the blood stone which has emense power to who ever has it because who has it need never kil anyone again because the stone is supposedly meant to drip the bloody of the saints and every time the radu takes a drop from it he is slowly going insane. thats all we need an insane vampire as if a normal vampire aint bad enough. well radu s brother stephan try s to put a stop to his evil ways all,none,1,none,0
4_orig,"i ve seen worse films. this is bad but at least doesn t try to be good so it deserves a brief round of applause. it rest firmly in the realms of the low budget b movie sci fi genre.it is a rubbish film but in a nice way and is certainly worth buying if it s in the bargain bin at your local supermarket. awfully charming rather than just plain awful.the highlight for me is when galaxina s lover goes to rescue her. upon turning up she exclaims bunnyfluff! which draws sniggers from his co pilot.sit back, get drunk, enjoy!",none,0,none,0
5_orig,"man were do i start, everything about this cartoon from the episodes, to the stories, script, an animation is to me the stupidest, dummest and most annoying cartoon that walt disney television animation ever created and made, im so glad that both toon disney 2006 and disney channel to stop airing it in the u.s. as of this may 2008.believe me it s a wise choice to skip this out cast and black cloud of a cartoon, if you watch it don t say i did not alert an warn you.your in for a boring and down right dull and confusing time, i wish and pray i never even saw 1 episode of this cartoon buzz lightyear of star command. if i could i would have the part of my brain removed that remembers watching it, yes it is and was that bad.",none,0,none,0
6_orig,"spoilers as you may know, i have been commenting on a lot of silent short films in the past months. now, i have no idea why i am commenting on steamboat willie, i guess i was just desperate to comment on anything, so i watched this, and now i am commenting on it. this, or course, is one of the very first cartoons, and i believe it is not the first cartoon with sound. here is the plot. mickey mouse is driving a steamboat when pete throws him off and he drives it. when they stop for cargo minnie mouse tried to get on but failed miserably. mickey gets her up by a crane. then a goat eats her sheet of paper with turkey in the straw on it. they use the goat to make the song. when i say that i mean that they used the goat as a victrola. mickey plays the animals on the steamboat for instruments to the song. then an angry pete throws mickey in a potato room and mickey is forced to peel potatoes for the rest of the day.overall, this is yet another groundbreaking silent short film. i mean, this is the third mickey mouse cartoon. yes, the third. also,",none,1,none,0
7_orig,"i m sorry to say that this movies was one of the biggest disappointments of the year. following one of the biggest disappointments in movie monster match up history you would think that they would learn from the mistakes of the previous incarnation. the sequel falls into many of the same traps, the plot line was completely forced, the dialog was so bad that the film might be better on mute, and the action was contrived and far from the heart pounding brilliance of each monsters original films. the best part of avp requiem is in fact the trailer, which as you go through the movie end up realizing that almost every single death and every really cool shot in the movie was already shown in the trailer which leaves little to be revealed and little to be excited about. i gave the movie an extra star for letting see the extra hot female in the almost nude. the movie played out like a color by number sci fi monster fest which also played into the fact that nothing was a surprise when it happened, because you d seen it a thousand times before. the main failing with both these movies is that the creators thought that setting the films in our time would make us be interested in the story more as if it may one day happen to us. but what drew people in when",none,0,none,0
8_orig,"the answer.....no, sadly not. though miller and the sweep has to be hailed as a most whimsical cinematic treat.the drama, suspense, romance and the unidentified crowd at the end all add to the films complex storyline which must have been too much for the audiences of 1898. a enlightening experience, one for all the family!",none,1,none,0
9_orig,"jimmy stewart was a real life pilot, wwii flier and a one star general in the air force and therefore a natural for how real pilots react when they fly. when you see the faithful recreation of the actual plane, you begin to understand the real life bravery and courage of lucky lindy when he flew the atlantic solo in 1927!",none,1,none,0
10_orig,"bergman is a sublime comedy director and writer. this fact becomes apparent in en lektion i k rlek, where the comic elements range from pure slapstick to deep, yet very emotional scenes. this movie is paves the way for bergman s later comedies sommarnattens leende and kvinnodr m, all of them starring gunnar bj rnstrand as well as eva dahlbeck. this is an excellent movie with which to start your bergman experience, acutely portraying emotional troubles of the young as well as the old. the cinematography by martin bodin is astounding, for instance in the picnic scene. in short, the movie is a perfect example of a successful comedy, with a clarity of depth even surpassing some of bergman s own comedies.",none,1,none,0
11_orig,"the lifetime channel aired this in october but i only got around to watching it now. it s the old eternal triangle again small town connecticut boy dave ford matt long has a quick fling with his best friend s girlfriend, emily darrow emmanuelle chriqui, on the eve of his departure for law school in new york, thinks about her for the next five years while he isn t doing contracts and briefs, runs into her again when he returns home after the death of his father on the eve of a big exam five years later, and gets involved with her romantically again. but director and co writer matthew cole weiss goes way over the top, framing the whole thing in flashback as dave confesses to murdering emily, her husband and another one of her lovers in front of here comes the spoiler a lesbian cop who s also a flame of emily s. weiss overdoes the flanging effect by which dave gets to see chunks of his previous life flash before his eyes even before he s actually dead, cutting those in even while dave and emily are having sex and thereby ruining the soft core porn shots that give even some otherwise pretty lame lifetime movies at least a bit of audience appeal",none,0,none,0
12_orig,"richard norton really lights the screen up in this portland, oregon based martial arts masterpiece. norton, an aussie heartthrob, plays the evil mr. milverstead who runs a successful import export business both smuggling arms and participating in the female flesh trade. usually the women are plucked from his favorite dance club with the help of a squad of goons the most well known of who is bolo yeung, playing the role of ice. trouble comes for milverstead when a new cop in town john kim britton lee is out to avenge his dead partners murder at the hand of milverstead s organization. if you have time to see only one martial arts movie this year, don t miss this classic.",none,1,none,0
13_orig,"very serious spoilers this movie was a huge disappointment. there are so many problems i dont know where to start. so, i ll talk about what is good about the film.the cast was great. steve martin delivers a really funny performance of a middle aged, upper class, uptight white guy. queen latifah plays a big, beautiful, urban, black gal. and eugene levy, well he pretty much plays himself. add betty white and jean smart and you have a great cast everyone played their parts really well. and if watching these guys for 1.75 hours is worth 8 to you, then you wont be disappointed.but the movie makes a lot of serious mistakes. first of all, there are enough racial stereotypes and racial jokes to offend everyone. all the white people are uptight bigots. all the black people are ghetto ebonics speakers. the blacks are hip, cool, with it and poor. the whites are nerds, stiff, and rich. except eugene levy, he is clearly taken with queen latifa and speaks the lingo so latifa nicknames him a freak. so if you re a white man and you like black women and you know street slang you must be a freak. the",none,0,none,0
